surface	corpus	raw_rank	raw_pct	raw_function	raw_file_line	primitive_boundary	attribution_status	s_p2_antecedent_status	redress_routing
p1b_direct_strict_track2	unicode_mixed	1	31.23	<bbnf_bench::real_typed_struct::DecodedJsonString as serde_core::de::Deserialize>::deserialize::<&mut serde_json::de::Deserializer<serde_json::read::SliceRead>>	skinny/crates/bbnf-bench/src/real_typed_struct.rs:812	comparator parser work	comparator-side hot leaf	diagnostic only	measurement-only; does not reopen REDRESS-50-55/60-72/80/82-84/88/89
p1b_real_typed_track1	unicode_mixed	1	94.74	alloc::alloc::alloc	nightly-2026-04-11-aarch64-apple-darwin/lib/rustlib/src/rust/library/alloc/src/alloc.rs:101	allocation/tape materialization	generic allocation/tape	allowed:tape/allocation pressure	measurement-only; does not reopen REDRESS-50-55/60-72/80/82-84/88/89
p1b_real_typed_track2	unicode_mixed	1	31.54	<bbnf_bench::real_typed_struct::DecodedJsonString as serde_core::de::Deserialize>::deserialize::<&mut serde_json::de::Deserializer<serde_json::read::SliceRead>>	skinny/crates/bbnf-bench/src/real_typed_struct.rs:812	comparator parser work	comparator-side hot leaf	diagnostic only	measurement-only; does not reopen REDRESS-50-55/60-72/80/82-84/88/89
p1c_json_probes	unicode_mixed	1	8.36	core::str::validations::run_utf8_validation	/rustc/02c7f9bec0fd583160f8bcccb830216023b07bee/library/core/src/str/validations.rs:133	unicode/string validation	grammar-neutral string primitive	allowed:unicode/string	measurement-only; does not reopen REDRESS-50-55/60-72/80/82-84/88/89
p1c_simd_scan	unicode_mixed	4	6.35	runtime::generated_json::scan::neon::scan	skinny/crates/runtime/src/grammars/json/scan.rs:217	grammar-neutral structural scanner wrapper	generated-json-wrapper-over-generic-scan	allowed only after generic scanner boundary is cited	measurement-only; does not reopen REDRESS-50-55/60-72/80/82-84/88/89
p1a_parse_only_track1	unicode_escapes	6	0.02	<alloc::raw_vec::RawVec<runtime::generated_json::generated::ParseOnlyFrame>>::grow_one	nightly-2026-04-11-aarch64-apple-darwin/lib/rustlib/src/rust/library/alloc/src/raw_vec/mod.rs:186	allocation/tape materialization	generic allocation/tape	allowed:tape/allocation pressure	measurement-only; does not reopen REDRESS-50-55/60-72/80/82-84/88/89
p1b_direct_strict_track1	unicode_escapes	1	99.56	parse_that_regex::skip_ascii_whitespace	skinny/crates/parse-that-regex/src/lib.rs:121	generic string/whitespace scanner	grammar-neutral scanner primitive	allowed:scan/string	measurement-only; does not reopen REDRESS-50-55/60-72/80/82-84/88/89
p1b_direct_strict_track2	unicode_escapes	1	61.93	<serde_json::de::MapAccess<serde_json::read::SliceRead> as serde_core::de::MapAccess>::next_value_seed::<core::marker::PhantomData<core::option::Option<bbnf_bench::real_typed_struct::UnicodeEscapesMeta>>>	index.crates.io-1949cf8c6b5b557f/serde_json-1.0.149/src/de.rs:2033	unicode/string validation	grammar-neutral string primitive	allowed:unicode/string	measurement-only; does not reopen REDRESS-50-55/60-72/80/82-84/88/89
p1b_real_typed_track1	unicode_escapes	1	99.55	parse_that_regex::skip_ascii_whitespace	skinny/crates/parse-that-regex/src/lib.rs:121	generic string/whitespace scanner	grammar-neutral scanner primitive	allowed:scan/string	measurement-only; does not reopen REDRESS-50-55/60-72/80/82-84/88/89
p1b_real_typed_track2	unicode_escapes	1	61.62	<serde_json::de::MapAccess<serde_json::read::SliceRead> as serde_core::de::MapAccess>::next_value_seed::<core::marker::PhantomData<alloc::vec::Vec<bbnf_bench::real_typed_struct::UnicodeEscapesSerdeRecord>>>	index.crates.io-1949cf8c6b5b557f/serde_json-1.0.149/src/de.rs:2033	allocation/tape materialization	generic allocation/tape	allowed:tape/allocation pressure	measurement-only; does not reopen REDRESS-50-55/60-72/80/82-84/88/89
p1c_json_probes	unicode_escapes	1	8.90	<alloc::vec::Vec<u32>>::as_slice	nightly-2026-04-11-aarch64-apple-darwin/lib/rustlib/src/rust/library/alloc/src/vec/mod.rs:1840	allocation/tape materialization	generic allocation/tape	allowed:tape/allocation pressure	measurement-only; does not reopen REDRESS-50-55/60-72/80/82-84/88/89
p1c_simd_scan	unicode_escapes	4	6.77	rot16_128	index.crates.io-1949cf8c6b5b557f/blake3-1.8.5/c/blake3_neon.c:41	benchmark hash/checksum work	harness/masking-cost	blocked as parser primitive	measurement-only; does not reopen REDRESS-50-55/60-72/80/82-84/88/89
p1a_parse_only_track1	unicode_basic	1	99.78	<alloc::vec::Vec<runtime::generated_json::generated::ParseOnlyFrame>>::as_slice	nightly-2026-04-11-aarch64-apple-darwin/lib/rustlib/src/rust/library/alloc/src/vec/mod.rs:1840	allocation/tape materialization	generic allocation/tape	allowed:tape/allocation pressure	measurement-only; does not reopen REDRESS-50-55/60-72/80/82-84/88/89
p1b_direct_strict_track1	unicode_basic	2	24.84	parse_that_regex::skip_ascii_whitespace	skinny/crates/parse-that-regex/src/lib.rs:121	generic string/whitespace scanner	grammar-neutral scanner primitive	allowed:scan/string	measurement-only; does not reopen REDRESS-50-55/60-72/80/82-84/88/89
p1b_direct_strict_track2	unicode_basic	1	24.96	core::str::validations::run_utf8_validation	/rustc/02c7f9bec0fd583160f8bcccb830216023b07bee/library/core/src/str/validations.rs:133	unicode/string validation	grammar-neutral string primitive	allowed:unicode/string	measurement-only; does not reopen REDRESS-50-55/60-72/80/82-84/88/89
p1b_real_typed_track1	unicode_basic	2	25.91	alloc::alloc::alloc	nightly-2026-04-11-aarch64-apple-darwin/lib/rustlib/src/rust/library/alloc/src/alloc.rs:101	allocation/tape materialization	generic allocation/tape	allowed:tape/allocation pressure	measurement-only; does not reopen REDRESS-50-55/60-72/80/82-84/88/89
p1b_real_typed_track2	unicode_basic	1	26.19	core::str::validations::run_utf8_validation	/rustc/02c7f9bec0fd583160f8bcccb830216023b07bee/library/core/src/str/validations.rs:133	unicode/string validation	grammar-neutral string primitive	allowed:unicode/string	measurement-only; does not reopen REDRESS-50-55/60-72/80/82-84/88/89
p1c_json_probes	unicode_basic	1	9.42	core::str::validations::run_utf8_validation	/rustc/02c7f9bec0fd583160f8bcccb830216023b07bee/library/core/src/str/validations.rs:133	unicode/string validation	grammar-neutral string primitive	allowed:unicode/string	measurement-only; does not reopen REDRESS-50-55/60-72/80/82-84/88/89
p1c_simd_scan	unicode_basic	1	41.10	<u32>::wrapping_add	nightly-2026-04-11-aarch64-apple-darwin/lib/rustlib/src/rust/library/core/src/num/uint_macros.rs:2511	benchmark hash/checksum work	harness/masking-cost	blocked as parser primitive	measurement-only; does not reopen REDRESS-50-55/60-72/80/82-84/88/89
p1a_parse_only_track1	distinct_values	1	99.95	<alloc::vec::Vec<runtime::generated_json::generated::ParseOnlyFrame>>::as_slice	nightly-2026-04-11-aarch64-apple-darwin/lib/rustlib/src/rust/library/alloc/src/vec/mod.rs:1840	allocation/tape materialization	generic allocation/tape	allowed:tape/allocation pressure	measurement-only; does not reopen REDRESS-50-55/60-72/80/82-84/88/89
p1b_direct_strict_track1	distinct_values	1	44.46	alloc::alloc::alloc	nightly-2026-04-11-aarch64-apple-darwin/lib/rustlib/src/rust/library/alloc/src/alloc.rs:101	allocation/tape materialization	generic allocation/tape	allowed:tape/allocation pressure	measurement-only; does not reopen REDRESS-50-55/60-72/80/82-84/88/89
p1b_direct_strict_track2	distinct_values	1	13.60	core::str::validations::run_utf8_validation	/rustc/02c7f9bec0fd583160f8bcccb830216023b07bee/library/core/src/str/validations.rs:133	unicode/string validation	grammar-neutral string primitive	allowed:unicode/string	measurement-only; does not reopen REDRESS-50-55/60-72/80/82-84/88/89
p1b_real_typed_track1	distinct_values	1	44.59	alloc::alloc::alloc	nightly-2026-04-11-aarch64-apple-darwin/lib/rustlib/src/rust/library/alloc/src/alloc.rs:101	allocation/tape materialization	generic allocation/tape	allowed:tape/allocation pressure	measurement-only; does not reopen REDRESS-50-55/60-72/80/82-84/88/89
p1b_real_typed_track2	distinct_values	1	13.68	core::str::validations::run_utf8_validation	/rustc/02c7f9bec0fd583160f8bcccb830216023b07bee/library/core/src/str/validations.rs:133	unicode/string validation	grammar-neutral string primitive	allowed:unicode/string	measurement-only; does not reopen REDRESS-50-55/60-72/80/82-84/88/89
p1c_json_probes	distinct_values	1	8.70	core::str::validations::run_utf8_validation	/rustc/02c7f9bec0fd583160f8bcccb830216023b07bee/library/core/src/str/validations.rs:133	unicode/string validation	grammar-neutral string primitive	allowed:unicode/string	measurement-only; does not reopen REDRESS-50-55/60-72/80/82-84/88/89
p1c_simd_scan	distinct_values	1	43.51	<u32>::wrapping_add	nightly-2026-04-11-aarch64-apple-darwin/lib/rustlib/src/rust/library/core/src/num/uint_macros.rs:2511	benchmark hash/checksum work	harness/masking-cost	blocked as parser primitive	measurement-only; does not reopen REDRESS-50-55/60-72/80/82-84/88/89
p1a_parse_only_track1	y_string_unicode	1	99.81	<alloc::vec::Vec<runtime::generated_json::generated::ParseOnlyFrame>>::as_slice	nightly-2026-04-11-aarch64-apple-darwin/lib/rustlib/src/rust/library/alloc/src/vec/mod.rs:1840	allocation/tape materialization	generic allocation/tape	allowed:tape/allocation pressure	measurement-only; does not reopen REDRESS-50-55/60-72/80/82-84/88/89
p1b_direct_strict_track1	y_string_unicode	1	88.86	alloc::alloc::alloc	nightly-2026-04-11-aarch64-apple-darwin/lib/rustlib/src/rust/library/alloc/src/alloc.rs:101	allocation/tape materialization	generic allocation/tape	allowed:tape/allocation pressure	measurement-only; does not reopen REDRESS-50-55/60-72/80/82-84/88/89
p1b_direct_strict_track2	y_string_unicode	1	26.17	serde_json::read::parse_unicode_escape::<serde_json::read::SliceRead>	index.crates.io-1949cf8c6b5b557f/serde_json-1.0.149/src/read.rs:900	unicode/string validation	grammar-neutral string primitive	allowed:unicode/string	measurement-only; does not reopen REDRESS-50-55/60-72/80/82-84/88/89
p1b_real_typed_track1	y_string_unicode	1	89.66	bbnf_bench::real_typed_struct::track1_typed	skinny/crates/bbnf-bench/src/real_typed_struct.rs:1521	typed-product checksum/materialization	harness/product-materialization	blocked as parser primitive	measurement-only; does not reopen REDRESS-50-55/60-72/80/82-84/88/89
p1b_real_typed_track2	y_string_unicode	1	26.37	serde_json::read::parse_unicode_escape::<serde_json::read::SliceRead>	index.crates.io-1949cf8c6b5b557f/serde_json-1.0.149/src/read.rs:900	unicode/string validation	grammar-neutral string primitive	allowed:unicode/string	measurement-only; does not reopen REDRESS-50-55/60-72/80/82-84/88/89
p1c_json_probes	y_string_unicode	1	9.21	core::str::validations::run_utf8_validation	/rustc/02c7f9bec0fd583160f8bcccb830216023b07bee/library/core/src/str/validations.rs:133	unicode/string validation	grammar-neutral string primitive	allowed:unicode/string	measurement-only; does not reopen REDRESS-50-55/60-72/80/82-84/88/89
p1c_simd_scan	y_string_unicode	1	38.66	sha2::sha256::soft::sha256_digest_round_x2	index.crates.io-1949cf8c6b5b557f/sha2-0.10.9/src/sha256/soft.rs:82	benchmark hash/checksum work	harness/masking-cost	blocked as parser primitive	measurement-only; does not reopen REDRESS-50-55/60-72/80/82-84/88/89
